title,platform,score,genre,editors_choice,release_year
LittleBigPlanet PS Vita,PlayStation Vita,9,Platformer,Y,2012
LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PlayStation Vita,9,Platformer,Y,2012
Splice: Tree of Life,iPad,8.5,Puzzle,N,2012
NHL 13,Xbox 360,8.5,Sports,N,2012
NHL 13,PlayStation 3,8.5,Sports,N,2012
Total War Battles: Shogun,Macintosh,7,Strategy,N,2012
Double Dragon: Neon,Xbox 360,3,Fighting,N,2012
Guild Wars 2,PC,9,RPG,Y,2012
Double Dragon: Neon,PlayStation 3,3,Fighting,N,2012
Total War Battles: Shogun,PC,7,Strategy,N,2012
Tekken Tag Tournament 2,PlayStation 3,7.5,Fighting,N,2012
Tekken Tag Tournament 2,Xbox 360,7.5,Fighting,N,2012
Wild Blood,iPhone,7,,N,2012
Mark of the Ninja,Xbox 360,9,"Action, Adventure",Y,2012
Mark of the Ninja,PC,9,"Action, Adventure",Y,2012
Home: A Unique Horror Adventure,Macintosh,6.5,Adventure,N,2012
Home: A Unique Horror Adventure,PC,6.5,Adventure,N,2012
Avengers Initiative,iPhone,8,Action,N,2012
Way of the Samurai 4,PlayStation 3,5.5,"Action, Adventure",N,2012
JoJo's Bizarre Adventure HD,Xbox 360,7,Fighting,N,2012
JoJo's Bizarre Adventure HD,PlayStation 3,7,Fighting,N,2012
Mass Effect 3: Leviathan,Xbox 360,7.5,RPG,N,2012
Mass Effect 3: Leviathan,PlayStation 3,7.5,RPG,N,2012
Mass Effect 3: Leviathan,PC,7.5,RPG,N,2012
Dark Souls (Prepare to Die Edition),PC,9,"Action, RPG",Y,2012
Symphony,PC,7,Shooter,N,2012
Bastion,iPad,9,"Action, RPG",Y,2012
Tom Clancy's Ghost Recon Phantoms,PC,7.5,Shooter,N,2012
Thirty Flights of Loving,PC,8,Adventure,N,2012
Legasista,PlayStation 3,6.5,"Action, RPG",N,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Macintosh,9,Adventure,Y,2012
World of Warcraft: Mists of Pandaria,PC,8.7,RPG,Y,2012
Hell Yeah! Wrath of the Dead Rabbit,PlayStation 3,4.9,Platformer,N,2012
Pokemon White Version 2,Nintendo DS,9.6,RPG,Y,2012
War of the Roses,PC,7.3,Action,N,2012
Pokemon Black Version 2,Nintendo DS,9.6,RPG,Y,2012
Drakerider,iPhone,6.5,RPG,N,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Xbox 360,9,Adventure,Y,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,PC,9,Adventure,Y,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,PlayStation 3,9,Adventure,Y,2012
Rock Band Blitz,Xbox 360,8.5,Music,Y,2012
Counter-Strike: Global Offensive,Macintosh,8,Shooter,N,2012
Worms Revolution,PlayStation 3,8.5,Strategy,N,2012
Worms Revolution,PC,8.5,Strategy,N,2012
Worms Revolution,Xbox 360,8.5,Strategy,N,2012
Bad Piggies,iPhone,9.2,Action,Y,2012
Resident Evil 6,PlayStation 3,7.9,"Action, Adventure",N,2012
Resident Evil 6,Xbox 360,7.9,"Action, Adventure",N,2012
Shad'O,PC,7,Adventure,N,2012
Demon's Score,iPhone,6.9,Action,N,2012
NBA 2K13,Xbox 360,9.1,Sports,Y,2012
Counter-Strike: Global Offensive,PC,8,Shooter,N,2012
The World Ends with You: Solo Remix,iPad,9.5,RPG,Y,2012
Counter-Strike: Global Offensive,PlayStation 3,8,Shooter,N,2012
The World Ends with You: Solo Remix,iPhone,9.5,RPG,Y,2012
Counter-Strike: Global Offensive,Xbox 360,8,Shooter,N,2012
Madden NFL 13,PlayStation Vita,6,Sports,N,2012
Madden NFL 13,PlayStation 3,9,Sports,Y,2012
Madden NFL 13,Xbox 360,9,Sports,Y,2012
Hoodwink,PC,2.5,Adventure,N,2012
NBA 2K13,PlayStation 3,9.1,Sports,Y,2012
NBA 2K13,PC,9.1,Sports,Y,2012
Lili: Child of Geos,iPhone,7,Adventure,N,2012
Marvel vs. Capcom Origins,Xbox 360,8.2,Fighting,N,2012
Marvel vs. Capcom Origins,PlayStation 3,8.2,Fighting,N,2012
Dead or Alive 5,PlayStation 3,8.8,Fighting,N,2012
Dead or Alive 5,Xbox 360,8.8,Fighting,N,2012
Medal of Honor Warfighter,PC,4,Shooter,N,2012
Professor Layton and the Miracle Mask,Nintendo 3DS,8.7,Adventure,Y,2012
Hotline Miami,PC,8.8,Action,Y,2012
Edna & Harvey: Harvey's New Eyes,PC,6,Adventure,N,2012
Medal of Honor Warfighter,PlayStation 3,4,Shooter,N,2012
Medal of Honor Warfighter,Xbox 360,4,Shooter,N,2012
Transformers: Fall of Cybertron,Xbox 360,8.5,Shooter,N,2012
Transformers: Fall of Cybertron,PlayStation 3,8.5,Shooter,N,2012
Hero Academy,PC,9,Board,Y,2012
Hero Academy,iPhone,9,Strategy,Y,2012
Puzzle Craft,iPhone,9,Puzzle,Y,2012
Realms Of Ancient War,Xbox 360,5.5,Action,N,2012
Realms Of Ancient War,PlayStation 3,5.5,Action,N,2012
Anomaly: Warzone Earth,PlayStation 3,8.2,Action,N,2012
Darksiders II,PC,7.5,Action,N,2012
Left 4 Dead 2: Cold Stream,Macintosh,7,Shooter,N,2012
Left 4 Dead 2: Cold Stream,PC,7,Shooter,N,2012
Puzzle Craft,Android,9,Puzzle,Y,2012
Left 4 Dead 2: Cold Stream,Xbox 360,7,Shooter,N,2012
Horn,iPhone,9,"Action, Adventure",Y,2012
Forza Horizon,Xbox 360,9,Racing,Y,2012
FIFA Soccer 13,PlayStation Vita,4,Sports,N,2012
Mugen Souls,PlayStation 3,3.9,"Strategy, RPG",N,2012
Crazy Taxi,iPhone,7.1,"Racing, Action",N,2012
New Little King's Story,PlayStation Vita,5.8,RPG,N,2012
Fable: The Journey,Xbox 360,7.2,"Action, RPG",N,2012
The Lord of the Rings Online: Riders of Rohan,PC,8.3,RPG,N,2012
Doom 3: BFG Edition,Xbox 360,7.6,RPG,N,2012
Rugby League Live 2,Xbox 360,6,Sports,N,2012
Rugby League Live 2,PlayStation 3,6,Sports,N,2012
Doom 3: BFG Edition,PlayStation 3,7.6,RPG,N,2012
Punch Quest,iPhone,9.3,Action,Y,2012
He-Man: The Most Powerful Game in the Universe,iPhone,6.8,Action,N,2012
Doom 3: BFG Edition,PC,7.6,RPG,N,2012
Dokuro,PlayStation Vita,8.8,Puzzle,N,2012
Naughty Bear: Panic in Paradise,Xbox 360,2.3,Action,N,2012
Naughty Bear: Panic in Paradise,PlayStation 3,2.3,Action,N,2012
Borderlands 2: Captain Scarlett and her Pirate's Booty,PlayStation 3,7.5,"Shooter, RPG",N,2012
Skylanders Giants,PlayStation 3,8,"Action, Adventure",N,2012
Borderlands 2: Captain Scarlett and her Pirate's Booty,PC,7.5,"Shooter, RPG",N,2012
Rayman: Jungle Run,iPhone,8.8,Platformer,N,2012
FIFA Soccer 13,PC,9,Sports,Y,2012
FIFA Soccer 13,PlayStation 3,9,Sports,Y,2012
Torchlight II,PC,9.1,"Action, RPG",Y,2012
FIFA Soccer 13,Xbox 360,9,Sports,Y,2012
The Sims 3: Supernatural,PC,4.5,Simulation,N,2012
Retro/Grade,PlayStation 3,7,,N,2012
Iron Brigade,PC,9,Action,Y,2012
Cafeteria Nipponica,iPhone,6,Simulation,N,2012
Sleeping Dogs,Xbox 360,8.5,Action,N,2012
Sleeping Dogs,PlayStation 3,8.5,Action,N,2012
Darksiders II,PlayStation 3,7.5,Action,N,2012
Papo & Yo,PlayStation 3,4,Adventure,N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,PC,7.5,Adventure,N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,iPad,7.5,Adventure,N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,PlayStation 3,7.5,Adventure,N,2012
Cortex Command,PC,5,"Action, Simulation",N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,Xbox 360,7.5,Adventure,N,2012
Derrick the Deathfin,PlayStation 3,7.4,Action,N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,Macintosh,7.5,Adventure,N,2012
XCOM: Enemy Unknown,Xbox 360,8.2,Strategy,N,2012
XCOM: Enemy Unknown,PC,8.2,Strategy,N,2012
Silent Hill: Book of Memories,PlayStation Vita,6,Adventure,N,2012
Diaspora: Shattered Armistice,PC,7.4,"Flight, Action",N,2012
Pocket Clothier,iPhone,6.6,Strategy,N,2012
Pocket Clothier,Android,6.6,Strategy,N,2012
Ravaged,PC,6.7,Shooter,N,2012
True Skate,iPhone,6.7,Sports,N,2012
Zero Escape: Virtue's Last Reward,Nintendo 3DS,9.5,Adventure,Y,2012
Zero Escape: Virtue's Last Reward,PlayStation Vita,9.5,Adventure,Y,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,iPad,9,Adventure,Y,2012
Skylanders Giants,Xbox 360,8,"Action, Adventure",N,2012
Skylanders Giants,Wii,8,"Action, Adventure",N,2012
Borderlands 2: Captain Scarlett and her Pirate's Booty,Xbox 360,7.5,"Shooter, RPG",N,2012
Devil's Attorney,Android,8.3,Strategy,N,2012
Devil's Attorney,iPhone,8.3,Strategy,N,2012
Code of Princess,Nintendo 3DS,6.9,"Action, RPG",N,2012
SunFlowers,PlayStation Vita,8,Puzzle,N,2012
007 Legends,Xbox 360,4.5,Action,N,2012
Super Hexagon,iPhone,9,Action,N,2012
Machinarium,PlayStation 3,8,Adventure,N,2012
Final Fantasy Dimensions,iPhone,8,RPG,N,2012
They Bleed Pixels,PC,8.2,Platformer,N,2012
Jet Set Radio,PlayStation Vita,7.5,Action,N,2012
Jet Set Radio,PlayStation 3,7.5,Action,N,2012
Jet Set Radio,Xbox 360,7.5,Action,N,2012
Pro Evolution Soccer 2013,Xbox 360,8.5,Sports,Y,2012
F1 2012,PC,9,Racing,Y,2012
Darksiders II,Xbox 360,7.5,Action,N,2012
Pitfall,iPhone,7,Platformer,N,2012
Dust: An Elysian Tail,Xbox 360,8.5,Platformer,N,2012
Hybrid,Xbox 360,8,Shooter,N,2012
The Dark Knight Rises,iPhone,5.5,Action,N,2012
10000000,iPhone,7.5,,N,2012
The Political Machine 2012,PC,6.5,Strategy,N,2012
Sound Shapes,PlayStation 3,9,Platformer,Y,2012
Sound Shapes,PlayStation Vita,9,Platformer,Y,2012
One Piece: Pirate Warriors,PlayStation 3,6,Action,N,2012
XCOM: Enemy Unknown,PlayStation 3,8.2,Strategy,N,2012
Dishonored,Xbox 360,9.2,Action,Y,2012
Dishonored,PC,9.2,Action,Y,2012
Dishonored,PlayStation 3,9.2,Action,Y,2012
Angry Birds Trilogy,Nintendo 3DS,7,"Puzzle, Action",N,2012
Angry Birds Trilogy,Xbox 360,7,"Puzzle, Action",N,2012
Angry Birds Trilogy,PlayStation 3,7,"Puzzle, Action",N,2012
Girls Like Robots,iPhone,8.5,Puzzle,N,2012
Happy Wars,Xbox 360,4,Action,N,2012
007 Legends,PlayStation 3,4.5,Action,N,2012
Funky Smugglers,iPhone,9,Action,Y,2012
Colour Bind,PC,6.2,,N,2012
WRC 3 FIA World Rally Championship,Xbox 360,5,Racing,N,2012
WRC 3 FIA World Rally Championship,PC,5,Racing,N,2012
Retro City Rampage,PlayStation 3,5.3,"Action, Adventure",N,2012
Retro City Rampage,PC,5.3,"Action, Adventure",N,2012
Dance Central 3,Xbox 360,8,Music,N,2012
WRC 3 FIA World Rally Championship,PlayStation 3,5,Racing,N,2012
Snapshot,PC,5,Platformer,N,2012
F1 2012,PlayStation 3,9,Racing,Y,2012
Pro Evolution Soccer 2013,PlayStation 3,8.5,Sports,Y,2012
F1 2012,Xbox 360,9,Racing,Y,2012
Pro Evolution Soccer 2013,PC,8.5,Sports,Y,2012
Borderlands 2,Xbox 360,9,"Shooter, RPG",Y,2012
Borderlands 2,PC,9,"Shooter, RPG",Y,2012
Joe Danger: The Movie,Xbox 360,8,Action,N,2012
Borderlands 2,PlayStation 3,9,"Shooter, RPG",Y,2012
Sound Shapes,PlayStation 4,9,Platformer,Y,2012
Persona 4 Arena,PlayStation 3,9,Fighting,Y,2012
Persona 4 Arena,Xbox 360,9,Fighting,Y,2012
Hell Yeah! Wrath of the Dead Rabbit,PC,4.9,Platformer,N,2012
Hell Yeah! Wrath of the Dead Rabbit,Xbox 360,4.9,Platformer,N,2012
Retro City Rampage,PlayStation Vita,5.3,"Action, Adventure",N,2012
The Unfinished Swan,PlayStation 3,9,Puzzle,Y,2012
Tokyo Jungle,PlayStation 3,8,Adventure,N,2012
Halo 4,Xbox 360,9.8,Shooter,Y,2012
Halo 4 (Limited Edition),Xbox 360,9.8,Shooter,Y,2012
Zone of the Enders HD Collection,PlayStation 3,7,"Action, Compilation",N,2012
Harvest Moon: A New Beginning,Nintendo 3DS,8.3,Adventure,N,2012
Zone of the Enders HD Collection,Xbox 360,7,"Action, Compilation",N,2012
Borderlands Legends,iPhone,6.5,"Action, RPG",N,2012
Borderlands Legends,iPad,6.5,"Action, RPG",N,2012
Okami HD,PlayStation 3,9.4,Adventure,Y,2012
Ragnarok Odyssey,PlayStation Vita,5,RPG,N,2012
Need for Speed Most Wanted,iPhone,6.9,"Racing, Action",N,2012
Pid,Xbox 360,7.8,Platformer,N,2012
Pid,PC,7.8,Platformer,N,2012
Pid,PlayStation 3,7.8,Platformer,N,2012
Need for Speed Most Wanted,PlayStation 3,9,"Racing, Action",Y,2012
Assassin's Creed III,Xbox 360,8.5,"Action, Adventure",N,2012
Need for Speed Most Wanted,Xbox 360,9,"Racing, Action",Y,2012
Assassin's Creed III: Liberation,PlayStation Vita,7.2,Action,N,2012
Smart As...,PlayStation Vita,8.5,"Educational, Puzzle",N,2012
Assassin's Creed III,PlayStation 3,8.5,"Action, Adventure",N,2012
Need for Speed Most Wanted,PC,9,"Racing, Action",Y,2012
